Area,Year,Value_Tonnes
Yemen,2010,20246
Yemen,2011,20278
Yemen,2012,20348
Yemen,2013,20072
Yemen,2014,20098
Yemen,2015,17686
Yemen,2016,17362
Yemen,2017,17011
Yemen,2018,16706
Yemen,2019,21946
Yemen,2020,23650
Zimbabwe,2010,6826
Zimbabwe,2011,6761
Zimbabwe,2012,6500
Zimbabwe,2013,6500
Zimbabwe,2014,6701
Zimbabwe,2015,6660
Zimbabwe,2016,6788
Zimbabwe,2017,6787
Zimbabwe,2018,6727
Zimbabwe,2019,6725
Zimbabwe,2020,6724
